location,date,rain,temperature
Bergen,1982-05-23,0,0.0
Bergen,1982-05-24,0,6.23
Bergen,1982-05-25,0,7.12
Bergen,1982-05-26,0,7.44
Bergen,1982-05-27,0,10.45
Bergen,1982-05-28,0,10.45
Bergen,1982-05-29,0,10.42
Bergen,1982-05-30,0,11.24
Bergen,1982-05-31,0,13.81
Bergen,1982-06-01,0,12.2
Bergen,1982-06-02,0,8.23
Bergen,1982-06-03,0,5.35
Bergen,1982-06-04,0,5.35
Bergen,1982-06-05,0,7.71
Bergen,1982-06-06,0,7.71
Bergen,1982-06-07,0,8.21
Bergen,1982-06-08,0,10.01
Bergen,1982-06-09,0,11.01
Bergen,1982-06-10,0,11.45
Bergen,1982-06-11,0,11.45
Bergen,1982-06-12,0,5.92
Bergen,1982-06-13,0,7.06
Bergen,1982-06-14,0,7.06
Bergen,1982-06-15,0,6.02
Bergen,1982-06-16,0,9.48
Bergen,1982-06-17,0,8.85
Bergen,1982-06-18,0,10.88
Bergen,1982-06-19,0,11.92
Bergen,1982-06-20,0,11.92
Bergen,1982-06-21,0,11.57
Bergen,1982-06-22,0,5.26
Bergen,1982-06-23,0,5.26
Bergen,1982-06-24,0,8.61
Bergen,1982-06-25,0,8.61
Bergen,1982-06-26,0,8.22
Bergen,1982-06-27,0,8.91
Bergen,1982-06-28,0,10.72
Bergen,1982-06-29,0,10.72
Bergen,1982-06-30,0,12.2
Bergen,1982-07-01,0,13.3
Bergen,1982-07-02,0,0.0
Bergen,1982-07-03,0,6.99
Bergen,1982-07-04,0,8.04
Bergen,1982-07-05,0,8.04
Bergen,1982-07-06,0,9.28
Bergen,1982-07-07,0,10.37
Bergen,1982-07-08,0,10.59
Bergen,1982-07-09,0,10.59
Bergen,1982-07-10,0,13.11
Bergen,1982-07-11,0,13.11
Bergen,1982-07-12,0,0.0
Bergen,1982-07-13,0,4.19
Bergen,1982-07-14,0,6.8
Bergen,1982-07-15,0,8.57
Bergen,1982-07-16,0,9.71
Bergen,1982-07-17,0,9.71
Bergen,1982-07-18,0,10.46
Bergen,1982-07-19,0,13.93
Bergen,1982-07-20,0,12.88
Bergen,1982-07-21,0,13.6
Bergen,1982-07-22,0,0.0
Bergen,1982-07-23,0,8.88
Bergen,1982-07-24,0,4.11
Bergen,1982-07-25,0,7.31
Bergen,1982-07-26,0,6.97
Bergen,1982-07-27,0,7.31
Bergen,1982-07-28,0,10.5
Bergen,1982-07-29,0,10.5
Bergen,1982-07-30,0,11.24
Bergen,1982-07-31,0,14.55
Bergen,1982-08-01,0,0.0
Bergen,1982-08-02,0,6.46
Bergen,1982-08-03,0,6.46
Bergen,1982-08-04,0,8.43
Bergen,1982-08-05,0,7.84
Bergen,1982-08-06,0,10.43
Bergen,1982-08-07,0,10.43
Bergen,1982-08-08,0,9.83
Bergen,1982-08-09,0,12.6
Bergen,1982-08-10,0,12.6
Bergen,1982-08-11,0,0.0
Bergen,1982-08-12,0,7.96
Bergen,1982-08-13,0,7.0
Bergen,1982-08-14,0,9.21
Bergen,1982-08-15,0,9.17
Bergen,1982-08-16,0,11.45
Bergen,1982-08-17,0,11.45
Bergen,1982-08-18,0,9.92
Bergen,1982-08-19,0,12.48
Bergen,1982-08-20,0,12.48
Bergen,1982-08-21,0,0.0
Bergen,1982-08-22,0,6.15
Bergen,1982-08-23,0,8.16
Bergen,1982-08-24,0,8.17
Bergen,1982-08-25,0,9.54
Bergen,1982-08-26,0,9.51
Bergen,1982-08-27,0,9.51
Bergen,1982-08-28,0,12.34
Bergen,1982-08-29,0,12.34
Bergen,1982-08-30,0,12.67
Bergen,1982-08-31,0,0.0
Bergen,1982-09-01,0,7.25
Bergen,1982-09-02,0,7.25
Bergen,1982-09-03,0,8.78
Bergen,1982-09-04,0,7.06
Bergen,1982-09-05,0,9.57
Bergen,1982-09-06,0,10.8
Bergen,1982-09-07,0,10.8
Bergen,1982-09-08,0,12.85
Bergen,1982-09-09,0,15.78
Bergen,1982-09-10,0,0.0
Bergen,1982-09-11,0,6.03
Bergen,1982-09-12,0,7.56
Bergen,1982-09-13,0,7.56
Bergen,1982-09-14,0,6.2
Bergen,1982-09-15,0,10.25
Bergen,1982-09-16,0,10.76
Bergen,1982-09-17,0,11.53
Bergen,1982-09-18,0,14.44
Bergen,1982-09-19,0,12.56
Bergen,1982-09-20,0,6.94
Bergen,1982-09-21,0,5.58
Bergen,1982-09-22,0,7.06
Bergen,1982-09-23,0,7.06
Bergen,1982-09-24,0,7.89
Bergen,1982-09-25,0,11.0
Bergen,1982-09-26,0,11.92
Bergen,1982-09-27,0,11.92
Bergen,1982-09-28,0,13.44
Bergen,1982-09-29,0,14.33
Bergen,1982-09-30,0,0.0
Bergen,1982-10-01,0,6.79
Bergen,1982-10-02,0,7.17
Bergen,1982-10-03,0,7.17
Bergen,1982-10-04,0,9.95
Bergen,1982-10-05,0,9.74
Bergen,1982-10-06,0,9.86
Bergen,1982-10-07,0,9.86
Bergen,1982-10-08,0,11.94
Bergen,1982-10-09,0,12.46
