location,date,rain,temperature
Oslo,1982-08-04,0,0.0
Oslo,1982-08-05,0,7.44
Oslo,1982-08-06,0,7.44
Oslo,1982-08-07,0,6.96
Oslo,1982-08-08,0,7.08
Oslo,1982-08-09,0,10.18
Oslo,1982-08-10,0,10.18
Oslo,1982-08-11,0,9.88
Oslo,1982-08-12,0,11.38
Oslo,1982-08-13,0,11.38
Oslo,1982-08-14,0,0.0
Oslo,1982-08-15,0,7.46
Oslo,1982-08-16,0,7.52
Oslo,1982-08-17,0,7.52
Oslo,1982-08-18,0,9.4
Oslo,1982-08-19,0,9.83
Oslo,1982-08-20,0,9.83
Oslo,1982-08-21,0,11.87
Oslo,1982-08-22,0,11.87
Oslo,1982-08-23,0,13.68
Oslo,1982-08-24,0,7.83
Oslo,1982-08-25,0,7.83
Oslo,1982-08-26,0,7.08
Oslo,1982-08-27,0,6.89
Oslo,1982-08-28,0,6.89
Oslo,1982-08-29,0,10.7
Oslo,1982-08-30,0,10.7
Oslo,1982-08-31,0,12.08
Oslo,1982-09-01,0,12.08
Oslo,1982-09-02,0,14.44
Oslo,1982-09-03,0,8.76
Oslo,1982-09-04,0,7.43
Oslo,1982-09-05,0,7.43
Oslo,1982-09-06,0,9.44
Oslo,1982-09-07,0,7.99
Oslo,1982-09-08,0,7.99
Oslo,1982-09-09,0,7.94
Oslo,1982-09-10,0,12.08
Oslo,1982-09-11,0,14.76
Oslo,1982-09-12,0,14.76
Oslo,1982-09-13,0,0.0
Oslo,1982-09-14,0,7.5
Oslo,1982-09-15,0,7.22
Oslo,1982-09-16,0,8.45
Oslo,1982-09-17,0,7.39
Oslo,1982-09-18,0,8.22
Oslo,1982-09-19,0,10.53
Oslo,1982-09-20,0,10.53
Oslo,1982-09-21,0,12.61
Oslo,1982-09-22,0,14.5
Oslo,1982-09-23,0,0.0
Oslo,1982-09-24,0,7.47
Oslo,1982-09-25,0,8.27
Oslo,1982-09-26,0,9.15
Oslo,1982-09-27,0,9.15
Oslo,1982-09-28,0,8.49
Oslo,1982-09-29,0,10.09
Oslo,1982-09-30,0,12.81
Oslo,1982-10-01,0,12.81
Oslo,1982-10-02,0,13.73
Oslo,1982-10-03,0,7.67
Oslo,1982-10-04,0,7.67
Oslo,1982-10-05,0,7.11
Oslo,1982-10-06,0,7.11
Oslo,1982-10-07,0,9.85
Oslo,1982-10-08,0,9.85
Oslo,1982-10-09,0,12.44
Oslo,1982-10-10,0,13.39
Oslo,1982-10-11,0,13.39
Oslo,1982-10-12,0,12.8
Oslo,1982-10-13,0,0.0
Oslo,1982-10-14,0,6.33
Oslo,1982-10-15,0,8.39
Oslo,1982-10-16,0,5.37
Oslo,1982-10-17,0,8.04
Oslo,1982-10-18,0,8.04
Oslo,1982-10-19,0,10.01
Oslo,1982-10-20,0,10.01
Oslo,1982-10-21,0,12.9
Oslo,1982-10-22,0,12.9
Oslo,1982-10-23,0,6.83
Oslo,1982-10-24,0,7.08
Oslo,1982-10-25,0,7.08
Oslo,1982-10-26,0,6.57
Oslo,1982-10-27,0,6.57
Oslo,1982-10-28,0,8.3
Oslo,1982-10-29,0,11.74
Oslo,1982-10-30,0,11.74
Oslo,1982-10-31,0,10.1
Oslo,1982-11-01,0,12.05
Oslo,1982-11-02,0,0.0
Oslo,1982-11-03,0,8.4
Oslo,1982-11-04,0,6.6
Oslo,1982-11-05,0,7.83
Oslo,1982-11-06,0,7.78
Oslo,1982-11-07,0,12.15
Oslo,1982-11-08,0,12.15
Oslo,1982-11-09,0,13.26
Oslo,1982-11-10,0,14.15
Oslo,1982-11-11,0,14.44
