location,date,rain,temperature
Stavanger,1981-05-01,0,0.0
Stavanger,1981-05-02,0,8.25
Stavanger,1981-05-03,0,6.78
Stavanger,1981-05-04,0,8.75
Stavanger,1981-05-05,0,7.92
Stavanger,1981-05-06,0,8.5
Stavanger,1981-05-07,0,8.31
Stavanger,1981-05-08,0,14.08
Stavanger,1981-05-09,0,14.08
Stavanger,1981-05-10,0,15.05
Stavanger,1981-05-11,0,0.0
Stavanger,1981-05-12,0,5.54
Stavanger,1981-05-13,0,6.73
Stavanger,1981-05-14,0,7.5
Stavanger,1981-05-15,0,9.43
Stavanger,1981-05-16,0,8.78
Stavanger,1981-05-17,0,8.78
Stavanger,1981-05-18,0,10.95
Stavanger,1981-05-19,0,12.18
Stavanger,1981-05-20,0,12.18
Stavanger,1981-05-21,0,0.0
Stavanger,1981-05-22,0,5.25
Stavanger,1981-05-23,0,5.32
Stavanger,1981-05-24,0,8.6
Stavanger,1981-05-25,0,8.6
Stavanger,1981-05-26,0,9.72
Stavanger,1981-05-27,0,11.38
Stavanger,1981-05-28,0,10.37
Stavanger,1981-05-29,0,12.21
Stavanger,1981-05-30,0,14.07
Stavanger,1981-06-20,0,0.0
Stavanger,1981-06-21,0,6.63
Stavanger,1981-06-22,0,7.51
Stavanger,1981-06-23,0,9.05
Stavanger,1981-06-24,0,8.22
Stavanger,1981-06-25,0,8.22
Stavanger,1981-06-26,0,7.26
Stavanger,1981-06-27,0,12.11
Stavanger,1981-06-28,0,9.95
Stavanger,1981-06-29,0,13.96
Stavanger,1981-06-30,0,0.0
Stavanger,1981-07-01,0,7.26
Stavanger,1981-07-02,0,7.26
Stavanger,1981-07-03,0,7.31
Stavanger,1981-07-04,0,7.31
Stavanger,1981-07-05,0,11.34
Stavanger,1981-07-06,0,11.34
Stavanger,1981-07-07,0,13.14
Stavanger,1981-07-08,0,13.14
Stavanger,1981-07-09,0,14.97
Stavanger,1981-07-10,0,7.84
Stavanger,1981-07-11,0,7.84
Stavanger,1981-07-12,0,7.33
Stavanger,1981-07-13,0,5.33
Stavanger,1981-07-14,0,7.26
Stavanger,1981-07-15,0,9.09
Stavanger,1981-07-16,0,12.41
Stavanger,1981-07-17,0,12.41
Stavanger,1981-07-18,0,13.68
Stavanger,1981-07-19,0,12.66
Stavanger,1981-07-20,0,0.0
Stavanger,1981-07-21,0,7.1
Stavanger,1981-07-22,0,7.1
Stavanger,1981-07-23,0,8.45
Stavanger,1981-07-24,0,8.45
Stavanger,1981-07-25,0,8.8
Stavanger,1981-07-26,0,9.44
Stavanger,1981-07-27,0,9.94
Stavanger,1981-07-28,0,9.94
Stavanger,1981-07-29,0,14.68
Stavanger,1981-07-30,0,0.0
Stavanger,1981-07-31,0,6.22
Stavanger,1981-08-01,0,6.22
Stavanger,1981-08-02,0,6.22
Stavanger,1981-08-03,0,7.74
Stavanger,1981-08-04,0,10.27
Stavanger,1981-08-05,0,10.27
Stavanger,1981-08-06,0,10.9
Stavanger,1981-08-07,0,11.51
Stavanger,1981-08-08,0,12.33
Stavanger,1981-08-09,0,0.0
Stavanger,1981-08-10,0,7.05
Stavanger,1981-08-11,0,5.56
Stavanger,1981-08-12,0,5.83
Stavanger,1981-08-13,0,9.28
Stavanger,1981-08-14,0,8.71
Stavanger,1981-08-15,0,10.57
Stavanger,1981-08-16,0,12.48
Stavanger,1981-08-17,0,12.48
Stavanger,1981-08-18,0,13.44
Stavanger,1981-08-19,0,7.39
Stavanger,1981-08-20,0,7.39
Stavanger,1981-08-21,0,7.4
Stavanger,1981-08-22,0,7.12
Stavanger,1981-08-23,0,8.55
Stavanger,1981-08-24,0,9.1
Stavanger,1981-08-25,0,9.87
Stavanger,1981-08-26,0,12.87
Stavanger,1981-08-27,0,12.29
Stavanger,1981-08-28,0,12.29
Stavanger,1981-08-29,0,6.46
Stavanger,1981-08-30,0,6.46
Stavanger,1981-08-31,0,8.15
Stavanger,1981-09-01,0,7.38
Stavanger,1981-09-02,0,7.45
Stavanger,1981-09-03,0,8.01
Stavanger,1981-09-04,0,10.15
Stavanger,1981-09-05,0,12.03
Stavanger,1981-09-06,0,12.03
Stavanger,1981-09-07,0,14.64
Stavanger,1981-09-08,0,0.0
