location,date,rain,temperature
Oslo,1981-09-28,0,0.0
Oslo,1981-09-29,0,7.7
Oslo,1981-09-30,0,6.36
Oslo,1981-10-01,0,7.35
Oslo,1981-10-02,0,7.48
Oslo,1981-10-03,0,7.96
Oslo,1981-10-04,0,10.37
Oslo,1981-10-05,0,11.87
Oslo,1981-10-06,0,11.55
Oslo,1981-10-07,0,13.95
Oslo,1981-10-08,0,7.17
Oslo,1981-10-09,0,7.17
Oslo,1981-10-10,0,5.51
Oslo,1981-10-11,0,8.34
Oslo,1981-10-12,0,11.15
Oslo,1981-10-13,0,11.15
Oslo,1981-10-14,0,9.21
Oslo,1981-10-15,0,12.07
Oslo,1981-10-16,0,13.56
Oslo,1981-10-17,0,13.56
Oslo,1981-10-18,0,0.0
Oslo,1981-10-19,0,6.58
Oslo,1981-10-20,0,7.64
Oslo,1981-10-21,0,7.64
Oslo,1981-10-22,0,9.27
Oslo,1981-10-23,0,9.27
Oslo,1981-10-24,0,8.26
Oslo,1981-10-25,0,9.39
Oslo,1981-10-26,0,13.76
Oslo,1981-10-27,0,13.76
Oslo,1981-10-28,0,0.0
Oslo,1981-10-29,0,7.6
Oslo,1981-10-30,0,7.37
Oslo,1981-10-31,0,7.37
Oslo,1981-11-01,0,8.21
Oslo,1981-11-02,0,9.77
Oslo,1981-11-03,0,9.88
Oslo,1981-11-04,0,12.19
Oslo,1981-11-05,0,12.19
Oslo,1981-11-06,0,11.6
Oslo,1981-11-07,0,7.12
Oslo,1981-11-08,0,7.12
Oslo,1981-11-09,0,6.44
Oslo,1981-11-10,0,7.74
Oslo,1981-11-11,0,8.33
Oslo,1981-11-12,0,7.62
Oslo,1981-11-13,0,11.3
Oslo,1981-11-14,0,11.3
Oslo,1981-11-15,0,12.5
Oslo,1981-11-16,0,10.61
Oslo,1981-11-17,0,6.89
Oslo,1981-11-18,0,6.89
Oslo,1981-11-19,0,8.77
Oslo,1981-11-20,0,8.2
Oslo,1981-11-21,0,9.56
Oslo,1981-11-22,0,12.44
Oslo,1981-11-23,0,12.44
Oslo,1981-11-24,0,13.78
Oslo,1981-11-25,0,13.47
Oslo,1981-11-26,0,13.47
Oslo,1981-11-27,0,6.53
Oslo,1981-11-28,0,6.53
Oslo,1981-11-29,0,7.45
Oslo,1981-11-30,0,7.42
Oslo,1981-12-01,0,7.84
Oslo,1981-12-02,0,9.45
Oslo,1981-12-03,0,9.45
Oslo,1981-12-04,0,13.1
Oslo,1981-12-05,0,13.1
Oslo,1981-12-06,0,13.98
Oslo,1981-12-07,0,7.03
Oslo,1981-12-08,0,7.44
Oslo,1981-12-09,0,7.47
Oslo,1981-12-10,0,8.58
Oslo,1981-12-11,0,8.54
Oslo,1981-12-12,0,11.85
Oslo,1981-12-13,0,11.85
Oslo,1981-12-14,0,10.54
Oslo,1981-12-15,0,13.13
Oslo,1981-12-16,0,13.13
Oslo,1981-12-17,0,5.22
Oslo,1981-12-18,0,7.92
Oslo,1981-12-19,0,8.26
Oslo,1981-12-20,0,7.8
Oslo,1981-12-21,0,9.46
Oslo,1981-12-22,0,9.46
Oslo,1981-12-23,0,9.69
Oslo,1981-12-24,0,9.69
Oslo,1981-12-25,0,11.99
