location,date,rain,temperature
Stavanger,1981-05-01,0,0.0
Stavanger,1981-05-02,0,8.25
Stavanger,1981-05-03,0,6.78
Stavanger,1981-05-04,0,8.75
Stavanger,1981-05-05,0,7.92
Stavanger,1981-05-06,0,8.5
Stavanger,1981-05-07,0,8.31
Stavanger,1981-05-08,0,14.08
Stavanger,1981-05-09,0,14.08
Stavanger,1981-05-10,0,15.05
Stavanger,1981-05-11,0,0.0
Stavanger,1981-05-12,0,5.54
Stavanger,1981-05-13,0,6.73
Stavanger,1981-05-14,0,7.5
Stavanger,1981-05-15,0,9.43
Stavanger,1981-05-16,0,8.78
Stavanger,1981-05-17,0,8.78
Stavanger,1981-05-18,0,10.95
Stavanger,1981-05-19,0,12.18
Stavanger,1981-05-20,0,12.18
Stavanger,1981-05-21,0,0.0
Stavanger,1981-05-22,0,5.25
Stavanger,1981-05-23,0,5.32
Stavanger,1981-05-24,0,8.6
Stavanger,1981-05-25,0,8.6
Stavanger,1981-05-26,0,9.72
Stavanger,1981-05-27,0,11.38
Stavanger,1981-05-28,0,10.37
Stavanger,1981-05-29,0,12.21
Stavanger,1981-05-30,0,14.07
